i,j,dist
4,65,0.0552
4,66,0.0552
4,67,0.0552
4,68,0.0552
4,69,0.0552
5,10,0.0000
5,11,0.0000
5,12,0.0000
5,13,0.0021
5,14,0.0021
5,15,0.0124
5,16,0.0885
5,17,0.2622
5,18,0.4511
5,19,0.5635
5,20,0.5787
5,21,0.4689
5,22,0.2981
5,23,0.1431
5,24,0.2309
5,25,0.4330
5,26,0.6036
5,27,0.6152
5,28,0.4806
5,29,0.2464
5,30,0.1882
5,31,0.3612
5,32,0.5748
5,33,0.7021
5,34,0.6003
5,35,0.4425
5,36,0.2202
5,37,0.1206
5,38,0.2873
5,39,0.5064
5,40,0.6763
5,41,0.7240
5,42,0.6421
5,43,0.4802
5,44,0.3295
5,45,0.2156
5,46,0.1677
5,47,0.0850
5,48,0.0335
5,49,0.0444
5,50,0.0490
5,51,0.0490
5,52,0.0454
5,53,0.0455
5,54,0.0513
5,55,0.0552
5,56,0.0552
5,57,0.0552
5,58,0.0552
5,59,0.0552
5,60,0.0552
5,61,0.0552
5,62,0.0552
5,63,0.0552
5,64,0.0552
5,65,0.0552
5,66,0.0552
5,67,0.0552
5,68,0.0552
5,69,0.0552
6,11,0.0000
6,12,0.0000
6,13,0.0021
6,14,0.0021
6,15,0.0124
6,16,0.0885
6,17,0.2622
6,18,0.4511
6,19,0.5635
6,20,0.5787
6,21,0.4689
6,22,0.2981
6,23,0.1431
6,24,0.2309
6,25,0.4330
6,26,0.6036
6,27,0.6152
6,28,0.4806
6,29,0.2464
6,30,0.1882
6,31,0.3612
6,32,0.5748
6,33,0.7021
6,34,0.6003
6,35,0.4425
6,36,0.2202
6,37,0.1206
6,38,0.2873
6,39,0.5064
6,40,0.6763
6,41,0.7240
6,42,0.6421
6,43,0.4802
6,44,0.3295
6,45,0.2156
6,46,0.1677
6,47,0.0850
6,48,0.0335
6,49,0.0444
6,50,0.0490
6,51,0.0490
6,52,0.0454
6,53,0.0455
6,54,0.0513
6,55,0.0552
6,56,0.0552
6,57,0.0552
6,58,0.0552
6,59,0.0552
6,60,0.0552
6,61,0.0552
6,62,0.0552
6,63,0.0552
6,64,0.0552
6,65,0.0552
6,66,0.0552
6,67,0.0552
6,68,0.0552
6,69,0.0552
7,12,0.0000
7,13,0.0021
7,14,0.0021
7,15,0.0124
7,16,0.0885
7,17,0.2622
7,18,0.4511
7,19,0.5635
7,20,0.5787
7,21,0.4689
7,22,0.2981
7,23,0.1431
7,24,0.2309
7,25,0.4330
7,26,0.6036
7,27,0.6152
7,28,0.4806
7,29,0.2464
7,30,0.1882
7,31,0.3612
7,32,0.5748
7,33,0.7021
7,34,0.6003
7,35,0.4425
7,36,0.2202
7,37,0.1206
7,38,0.2873
7,39,0.5064
7,40,0.6763
7,41,0.7240
7,42,0.6421
7,43,0.4802
7,44,0.3295
7,45,0.2156
7,46,0.1677
7,47,0.0850
7,48,0.0335
7,49,0.0444
7,50,0.0490
7,51,0.0490
7,52,0.0454
7,53,0.0455
7,54,0.0513
7,55,0.0552
7,56,0.0552
7,57,0.0552
7,58,0.0552
7,59,0.0552
7,60,0.0552
7,61,0.0552
7,62,0.0552
7,63,0.0552
7,64,0.0552
7,65,0.0552
7,66,0.0552
7,67,0.0552
7,68,0.0552
7,69,0.0552
8,13,0.0021
8,14,0.0021
8,15,0.0124
8,16,0.0885
8,17,0.2622
8,18,0.4511
8,19,0.5635
8,20,0.5787
8,21,0.4689
8,22,0.2981
8,23,0.1431
8,24,0.2309
8,25,0.4330
8,26,0.6036
8,27,0.6152
8,28,0.4806
8,29,0.2464
8,30,0.1882
8,31,0.3612
8,32,0.5748
8,33,0.7021
8,34,0.6003
8,35,0.4425
8,36,0.2202
8,37,0.1206
8,38,0.2873
8,39,0.5064
8,40,0.6763
8,41,0.7240
8,42,0.6421
8,43,0.4802
8,44,0.3295
8,45,0.2156
8,46,0.1677
8,47,0.0850
8,48,0.0335
8,49,0.0444
8,50,0.0490
8,51,0.0490
8,52,0.0454
8,53,0.0455
8,54,0.0513
8,55,0.0552
8,56,0.0552
8,57,0.0552
8,58,0.0552
8,59,0.0552
8,60,0.0552
8,61,0.0552
8,62,0.0552
8,63,0.0552
8,64,0.0552
8,65,0.0552
8,66,0.0552
8,67,0.0552
8,68,0.0552
8,69,0.0552
9,14,0.0021
9,15,0.0124
9,16,0.0885
9,17,0.2622
9,18,0.4511
9,19,0.5635
9,20,0.5787
9,21,0.4689
9,22,0.2981
9,23,0.1431
9,24,0.2309
9,25,0.4330
9,26,0.6036
9,27,0.6152
9,28,0.4806
9,29,0.2464
9,30,0.1882
9,31,0.3612
9,32,0.5748
9,33,0.7021
9,34,0.6003
9,35,0.4425
9,36,0.2202
9,37,0.1206
9,38,0.2873
9,39,0.5064
9,40,0.6763
9,41,0.7240
9,42,0.6421
9,43,0.4802
9,44,0.3295
9,45,0.2156
9,46,0.1677
9,47,0.0850
9,48,0.0335
9,49,0.0444
9,50,0.0490
9,51,0.0490
9,52,0.0454
9,53,0.0455
9,54,0.0513
9,55,0.0552
9,56,0.0552
9,57,0.0552
9,58,0.0552
9,59,0.0552
9,60,0.0552
9,61,0.0552
9,62,0.0552
9,63,0.0552
9,64,0.0552
9,65,0.0552
9,66,0.0552
9,67,0.0552
9,68,0.0552
9,69,0.0552
10,15,0.0124
10,16,0.0885
10,17,0.2622
10,18,0.4511
10,19,0.5635
10,20,0.5787
10,21,0.4689
10,22,0.2981
10,23,0.1431
10,24,0.2309
10,25,0.4330
10,26,0.6036
10,27,0.6152
10,28,0.4806
10,29,0.2464
10,30,0.1882
10,31,0.3612
10,32,0.5748
10,33,0.7021
10,34,0.6003
10,35,0.4425
10,36,0.2202
10,37,0.1206
10,38,0.2873
10,39,0.5064
10,40,0.6763
10,41,0.7240
10,42,0.6421
10,43,0.4802
10,44,0.3295
10,45,0.2156
10,46,0.1677
10,47,0.0850
10,48,0.0335
10,49,0.0444
10,50,0.0490
10,51,0.0490
10,52,0.0454
10,53,0.0455
10,54,0.0513
10,55,0.0552
10,56,0.0552
10,57,0.0552
10,58,0.0552
10,59,0.0552
10,60,0.0552
10,61,0.0552
10,62,0.0552
10,63,0.0552
10,64,0.0552
10,65,0.0552
10,66,0.0552
10,67,0.0552
10,68,0.0552
10,69,0.0552
11,16,0.0885
11,17,0.2622
11,18,0.4511
11,19,0.5635
11,20,0.5787
11,21,0.4689
11,22,0.2981
11,23,0.1431
11,24,0.2309
11,25,0.4330
11,26,0.6036
11,27,0.6152
11,28,0.4806
11,29,0.2464
11,30,0.1882
11,31,0.3612
11,32,0.5748
11,33,0.7021
11,34,0.6003
11,35,0.4425
11,36,0.2202
11,37,0.1206
11,38,0.2873
11,39,0.5064
11,40,0.6763
11,41,0.7240
11,42,0.6421
11,43,0.4802
11,44,0.3295
11,45,0.2156
11,46,0.1677
11,47,0.0850
11,48,0.0335
11,49,0.0444
11,50,0.0490
11,51,0.0490
11,52,0.0454
11,53,0.0455
11,54,0.0513
11,55,0.0552
11,56,0.0552
11,57,0.0552
11,58,0.0552
11,59,0.0552
11,60,0.0552
11,61,0.0552
11,62,0.0552
11,63,0.0552
11,64,0.0552
11,65,0.0552
11,66,0.0552
11,67,0.0552
11,68,0.0552
11,69,0.0552
12,17,0.2622
12,18,0.4511
12,19,0.5635
12,20,0.5787
12,21,0.4689
12,22,0.2981
12,23,0.1431
12,24,0.2309
12,25,0.4330
